Update: [2013/12/05 12:01:38 (5.793938563)]
625] c0      1 Bluetooth: HCI device and connection manager initialized
<6>[    0.361452] c0      1 sysinfo_proc_init: Init HTC system info proc interface.
<6>[    0.361452] c0      1 Create /proc/emmc OK.
<6>[    0.361483] c0      1 Create /proc/gpio_info OK.
<6>[    0.361483] c0      1 Create /proc/powerkey_debounce_ms OK.
<6>[    0.361513] c0      1 Create /proc/dying_processes OK.
<6>[    0.364260] c0      1 msm_dsps driver version 4.02.
<6>[    0.365023] c0      1 NET: Registered protocol family 27
<6>[    0.366549] c0      1 lpass_fatal_init: lpass SSR driver init'ed.
<6>[    0.366580] c0      1 riva_ssr_module_init: enable_riva_ssr set to 1
<6>[    0.366641] c0      1 wcnss_8960: module initialized
<6>[    0.366671] c0      1 acpuclk-8064 acpuclk-8064: SPEED BIN: 2
<6>[    0.366702] c0      1 acpuclk-8064 acpuclk-8064: ACPU PVS: 1
<6>[    0.369235] c0      1 acpuclk-8064 acpuclk-8064: CPU0: 15 frequencies supported
<6>[    0.369265] c0      1 acpuclk-8064 acpuclk-8064: CPU1: 15 frequencies supported
<6>[    0.369296] c0      1 acpuclk-8064 acpuclk-8064: CPU2: 15 frequencies supported
<6>[    0.369327] c0      1 acpuclk-8064 acpuclk-8064: CPU3: 15 frequencies supported
<6>[    0.370334] c0      1 [BATT] htc_battery_probe() in
<6>[    0.372073] c0      1 [BATT] htc_battery_probe(): finish at 366776842 (1970-01-01 00:00:00.366746344 UTC)
<6>[    0.372501] c0      1 [HS_MGR] (htc_headset_mgr_probe) ++++++++++++++++++++
<6>[    0.372531] c0      1 [HS_BOARD] (headset_init) Headset initiation (system_rev=128)
<6>[    0.373508] c0      1 input: h2w headset as /devices/virtual/input/input0
<6>[    0.374027] c0      1 [HS_MGR] (hs_notify_driver_ready) HS_MGR ready
<6>[    0.374271] c0      1 [HS_MGR] (htc_headset_mgr_probe) --------------------
<6>[    0.374729] c0      1 [HS_PMIC] (htc_headset_pmic_probe) ++++++++++++++++++++
<6>[    0.375553] c0      1 [HS_MGR] (headset_notifier_register) Register HPIN_GPIO notifier
<6>[    0.375583] c0      1 [HS_MGR] (headset_notifier_register) Register REMOTE_ADC notifier
<6>[    0.375614] c0      1 [HS_MGR] (headset_notifier_register) Register REMOTE_KEYCODE notifier
<6>[    0.375614] c0      1 [HS_MGR] (headset_notifier_register) Register RPC_KEY notifier
<6>[    0.375644] c0      1 [HS_MGR] (headset_notifier_register) Register MIC_STATUS notifier
<6>[    0.375675] c0      1 [HS_MGR] (headset_notifier_register) Register KEY_INT_ENABLE notifier
<6>[    0.375705] c0      1 [HS_MGR] (hs_notify_driver_ready) HS_PMIC ready
<6>[    0.375919] c0      1 [HS_PMIC] (htc_headset_pmic_probe) --------------------
<6>[    0.376285] c0      1 [HS_1WIRE] (htc_headset_1wire_probe) 1-wire probe starts
<6>[    0.376316] c0      1 [HS_1WIRE] (htc_headset_1wire_probe) 1wire tty device /dev/ttyHSL3
<6>[    0.376529] c0      1 [HS_MGR] (headset_notifier_register) Register 1WIRE_INIT notifier
<6>[    0.376560] c0      1 [HS_MGR] (headset_notifier_register) Register 1WIRE_QUERY notifier
<6>[    0.376560] c0      1 [HS_MGR] (headset_notifier_register) Register 1WIRE_READ_KEY notifier
<6>[    0.376590] c0      1 [HS_MGR] (headset_notifier_register) Register 1WIRE_DEINIT notifier
<6>[    0.376621] c0      1 [HS_MGR] (headset_notifier_register) Register 1WIRE_OPEN notifier
<6>[    0.376651] c0      1 [HS_MGR] (headset_notifier_register) Register 1WIRE_REPORT_TYPE notifier
<6>[    0.376682] c0      1 [HS_MGR] (hs_notify_driver_ready) HS_1WIRE ready
<6>[    0.376712] c0      1 [HS_1WIRE] (htc_headset_1wire_probe) --------------------
<5>[    0.377445] c0      1 msm_rpm_log_probe: OK
<6>[    0.377933] c0      1 tzlog buffer address 8d9e0000
<6>[    0.378269] c0      1 [SEC] [I] secure_log_operation(1, swapper/0): TZ_HTC_SVC_LOG_OPERATOR ret = -5
<6>[    0.378269] c0      1 [TZ] ---LOG START---
<6>[    0.378361] c0      1 Initializing PIL
<6>[    0.378391] c0      1 
<6>[    0.378391] c0      1 QSEE version major=1, minor=2
<6>[    0.378391] c0      1 ### SECURE FUNCTION TABLE 2a029244
<6>[    0.378422] c0      1 
<6>[    0.378422] c0      1 TZ Version: 1.010.30.45
<6>[    0.378422] c0      1 Security Flag: 0
<6>[    0.378422] c0      1 HWID: 2071b0e1
<6>[    0.378452] c0      1 MIDR: 511f06f0
<6>[    0.378452] c0      1 xpu: ISR begin
<6>[    0.378452] c0      1 CESR: 00000000 L2ESR: 00010002
<6>[    0.378452] c0      1 >[1]SPS_SLVWAY1,vmid=1,a=00000000,lr=002e7784<
<6>[    0.378483] c0      1 >[2]GCC,vmid=2,a=00000000,lr=002e7784<
<6>[    0.378483] c0      1 DCVS_REQ[1]: DcvsInit(0xf0bff000,10240)
<6>[    0.378513] c0      1 
<6>[    0.378513] c0      1 DCVS_RSP[1]: Status=0x0
<6>[    0.378513] c0      1 
<6>[    0.378513] c0      1 (5)
<6>[    0.378574] c0      1 [TZ] --- LOG END---
<6>[    0.378788] c0      1 [SEC] [I] secure_log_operation(1, swapper/0): TZ_HTC_SVC_LOG_OPERATOR ret = 0
<6>[    0.381687] c0      5 [MDM][COMM] mdm_common_create: mfg_mode=[0]
<6>[    0.382603] c0      5 [MDM] mdm_peripheral_disconnect+
<6>[    0.382633] c0      5 [MDM] mdm_peripheral_disconnect-
<7>[    0.382664] c0      5 [MDM] Pulling RESET gpio low
<7>[    0.392766] c0      5 [MDM] power_on_mdm: Pulling RESET gpio high
<6>[    0.455455] c0      5 [MDM] power_on_mdm: waiting for MDM HSIC READY signal.
<6>[    0.475507] c0      5 [MDM] power_on_mdm: waiting for MDM HSIC READY signal.
<6>[    0.475537] c0      5 [MDM] mdm_peripheral_connect+
<6>[    0.475812] c0      5 [MDM] mdm_peripheral_connect-
<6>[    0.686159] c0      5 [MDM][COMM] mdm_common_create: Registered mdm2ap_bootloader irq, gpio<69> irq<357> ret<0>
<6>[    0.686189] c0      5 [MDM][COMM] mdm_common_create: Registering mdm modem
<6>[    0.687593] c0      1 [QSC] qsc_common_create: Registered qsc_vddmin irq, gpio<45> irq<333> ret<0>
<6>[    0.687623] c0      1 [QSC] qsc_common_create: Registering qsc modem
<1>[    0.689058] c0      1 L2 Error detected!
<1>[    0.689088] c0      1 	L2ESR    = 0x00010003
<1>[    0.689119] c0      1 	L2ESYNR0 = 0x02004045
<1>[    0.689119] c0      1 	L2ESYNR1 = 0x108055a8
<1>[    0.689150] c0      1 	L2EAR0   = 0xa5da8f14
<1>[    0.689180] c0      1 	L2EAR1   = 0x00000009
<1>[    0.689180] c0      1 	CPU bitmap = 0x1
<1>[    0.689211] c0      1 L2 master port decode error
<1>[    0.689211] c0      1 L2 master port slave error
<4>[    0.689241] c0      1 ------------[ cut here ]------------
<4>[    0.689302] c0      1 WARNING: at /backup/cupcake/Project/DlpDTU_CMCC_CHS_COS_CRC_Stable/kernel/arch/arm/mach-msm/cache_erp.c:423 msm_l2_erp_irq+0x1d0/0x270()
<6>[    0.689333] c0      1 L2 master port error detected
<6>[    0.689333] c0      1 Modules linked in:
<6>[    0.689394] c0      1 [<c0013d24>] (unwind_backtrace+0x0/0x11c) from [<c0091bb8>] (warn_slowpath_common+0x4c/0x64)
<6>[    0.689455] c0      1 [<c0091bb8>] (warn_slowpath_common+0x4c/0x64) from [<c0091c50>] (warn_slowpath_fmt+0x2c/0x3c)
<6>[    0.689516] c0      1 [<c0091c50>] (warn_slowpath_fmt+0x2c/0x3c) from [<c008c68c>] (msm_l2_erp_irq+0x1d0/0x270)
<6>[    0.689546] c0      1 [<c008c68c>] (msm_l2_erp_irq+0x1d0/0x270) from [<c00e3d20>] (handle_irq_event_percpu+0xb0/0x28c)
<6>[    0.689607] c0      1 [<c00e3d20>] (handle_irq_event_percpu+0xb0/0x28c) from [<c00e3f38>] (handle_irq_event+0x3c/0x5c)
<6>[    0.689668] c0      1 [<c00e3f38>] (handle_irq_event+0x3c/0x5c) from [<c00e69e4>] (handle_fasteoi_irq+0xdc/0x148)
<6>[    0.689699] c0      1 [<c00e69e4>] (handle_fasteoi_irq+0xdc/0x148) from [<c00e35b4>] (generic_handle_irq+0x28/0x3c)
<6>[    0.689760] c0      1 [<c00e35b4>] (generic_handle_irq+0x28/0x3c) from [<c000eea4>] (handle_IRQ+0x7c/0xc0)
<6>[    0.689790] c0      1 [<c000eea4>] (handle_IRQ+0x7c/0xc0) from [<c0008658>] (gic_handle_irq+0x11c/0x190)
<6>[    0.689851] c0      1 [<c0008658>] (gic_handle_irq+0x11c/0x190) from [<c000e080>] (__irq_svc+0x40/0x70)
<6>[    0.689882] c0      1 Exception stack(0xdf03be30 to 0xdf03be78)
<6>[    0.689913] c0      1 be20:                                     c0d07310 00000000 00060006 00010000
<6>[    0.689943] c0      1 be40: 60000013 de8ea2c0 00000022 00000000 c0d07310 60000013 c0d072f0 00000000
<6>[    0.689974] c0      1 be60: 154e154f df03be78 c00e529c c073f7a4 60000013 ffffffff
<6>[    0.690035] c0      1 [<c000e080>] (__irq_svc+0x40/0x70) from [<c073f7a4>] (_raw_spin_unlock_irqrestore+0x78/0xb0)
<6>[    0.690096] c0      1 [<c073f7a4>] (_raw_spin_unlock_irqrestore+0x78/0xb0) from [<c00e529c>] (__setup_irq+0x2a4/0x36c)
<6>[    0.690126] c0      1 [<c00e529c>] (__setup_irq+0x2a4/0x36c) from [<c00e5444>] (request_threaded_irq+0xe0/0x130)
<6>[    0.690187] c0      1 [<c00e5444>] (request_threaded_irq+0xe0/0x130) from [<c008c248>] (msm_cache_erp_probe+0xa0/0x1b8)
<6>[    0.690248] c0      1 [<c008c248>] (msm_cache_erp_probe+0xa0/0x1b8) from [<c0329ee4>] (platform_drv_probe+0x14/0x18)
<6>[    0.690279] c0      1 [<c0329ee4>] (platform_drv_probe+0x14/0x18) from [<c0328be8>] (driver_probe_device+0x194/0x3b8)
<6>[    0.690340] c0      1 [<c0328be8>] (driver_probe_device+0x194/0x3b8) from [<c0328e6c>] (__driver_attach+0x60/0x84)
<6>[    0.690401] c0      1 [<c0328e6c>] (__driver_attach+0x60/0x84) from [<c03271f4>] (bus_for_each_dev+0x4c/0x84)
<6>[    0.690431] c0      1 [<c03271f4>] (bus_for_each_dev+0x4c/0x84) from [<c0328120>] (bus_add_driver+0xd0/0x250)
<6>[    0.690492] c0      1 [<c0328120>] (bus_add_driver+0xd0/0x250) from [<c032935c>] (driver_register+0x9c/0x128)
<6>[    0.690523] c0      1 [<c032935c>] (driver_register+0x9c/0x128) from [<c000878c>] (do_one_initcall+0x90/0x160)
<6>[    0.690584] c0      1 [<c000878c>] (do_one_initcall+0x90/0x160) from [<c0c00aa4>] (kernel_init+0xf4/0x1b4)
<6>[    0.690645] c0      1 [<c0c00aa4>] (kernel_init+0xf4/0x1b4) from [<c000f0ec>] (kernel_thread_exit+0x0/0x8)
<4>[    0.690706] c0      1 ---[ end trace 371b948d1dd1158a ]---
<6>[    0.691164] c0      1 usbcore: registered new interface driver hsic_sysmon
<6>[    0.698000] c0      1 highmem bounce pool size: 64 pages
<6>[    0.708377] c0      1 fuse init (API version 7.18)
<6>[    0.711338] c0      1 io scheduler noop registered
<6>[    0.711368] c0      1 io scheduler deadline registered
<6>[    0.711613] c0      1 io scheduler cfq registered (default)
<6>[    0.712314] c0      1 ion_client_create: create ion_client (msm_fb) at deb840c0
<6>[    0.712528] c0      1 ion_client_create: create ion_client (msmfb_projector) at deb84200
<6>[    0.713383] c0      1 mdp4_isr: UNDERRUN isr: 0x190 (pri: 1, ext: 0)
<6>[    0.713413] c0      1 [DISP] req = {clk=0, bw=4, ov0_blt=0, ov1_blt=0}
<6>[    0.713444] c0      1 [DISP] cur = {clk=0, bw=4, ov0_blt=0, ov1_blt=0}
<6>[    0.715214] c0      1 mipi_dsi base phy_addr = 0x4700000 virt = 0xe8300000
<6>[    0.715275] c0      1 mmss_sfpb  base phy_addr = 0x5700000,virt = 0xe60fe000
<3>[    0.716282] c0      1 Inside writeback_driver_init
<6>[    0.717381] c0      1 ion_client_create: create ion_client (video_client) at deb87240
<6>[    0.717625] c0      1 [VID] msm_vidc_dec: Inside vid_dec_init()
<6>[    0.717961] c0      1 [VID] msm_vidc_dec: Inside vid_dec_vcd_init()
<6>[    0.717991] c0      1 [VID]  msm_vidc_enc: Inside vid_enc_init()
<6>[    0.718235] c0      1 [VID]  msm_vidc_enc: Inside vid_enc_vcd_init()
<4>[    0.718419] c0      5 8921_s4: Failed to create debugfs directory
<4>[    0.718480] c0      5 8921_l11: Failed to create debugfs directory
<4>[    0.718541] c0      5 8921_l12: Failed to create debugfs directory
<6>[    0.718815] c0      1 smux_init boot_mode = 0, power_collapse_disable = 0
<6>[    0.720067] c0      5 mhl_sii9234_all_power(on): success
<7>[    0.720250] c0      5 [DISP] MhlTx: SiiMhlTxInitialize
<7>[    0.722508] c0      5 [DISP] Drv: SiiMhlTxChipInitialize: 9244
<6>[    0.722600] c0      1 msm_hs_probe: set baud rate 4Mbps for gsbi1.
<7>[    0.723149] c0      5 [DISP] SiI 9234
<7>[    0.723149] c0      5 [DISP] Drv: WriteInitialRegisterValues
<6>[    0.723760] c0      1 msm_serial_hs.1: ttyHS1 at MMIO 0x12450000 (irq = 225) is a MSM HS UART
<4>[    0.723790] c0      1 justdebug<smux> msm_hs_set_mctrl_locked set_rts<1>
<4>[    0.723821] c0      1 ------------[ cut here ]------------
<4>[    0.723851] c0      1 WARNING: at /backup/cupcake/Project/DlpDTU_CMCC_CHS_COS_CRC_Stable/kernel/drivers/tty/serial/msm_serial_hs.c:1612 msm_hs_set_mctrl_locked+0x38/0x154()
<6>[    0.723882] c0      1 Modules linked in:
<6>[    0.723943] c0      1 [<c0013d24>] (unwind_backtrace+0x0/0x11c) from [<c0091bb8>] (warn_slowpath_common+0x4c/0x64)
<6>[    0.724004] c0      1 [<c0091bb8>] (warn_slowpath_common+0x4c/0x64) from [<c0091be8>] (warn_slowpath_null+0x18/0x1c)
<6>[    0.724065] c0      1 [<c0091be8>] (warn_slowpath_null+0x18/0x1c) from [<c02d8f08>] (msm_hs_set_mctrl_locked+0x38/0x154)
<6>[    0.724095] c0      1 [<c02d8f08>] (msm_hs_set_mctrl_locked+0x38/0x154) from [<c02d6610>] (uart_add_one_port+0x27c/0x36c)
<6>[    0.724156] c0      1 [<c02d6610>] (uart_add_one_port+0x27c/0x36c) from [<c0713b24>] (msm_hs_probe+0xa34/0xb30)
<6>[    0.724217] c0      1 [<c0713b24>] (msm_hs_probe+0xa34/0xb30) from [<c0329ee4>] (platform_drv_probe+0x14/0x18)
<6>[    0.724278] c0      1 [<c0329ee4>] (platform_drv_probe+0x14/0x18) from [<c0328be8>] (driver_probe_device+0x194/0x3b8)
<6>[    0.724309] c0      1 [<c0328be8>] (driver_probe_device+0x194/0x3b8) from [<c0328e6c>] (__driver_attach+0x60/0x84)
<6>[    0.724370] c0      1 [<c0328e6c>] (__driver_attach+0x60/0x84) from [<c03271f4>] (bus_for_each_dev+0x4c/0x84)
<6>[    0.724401] c0      1 [<c03271f4>] (bus_for_each_dev+0x4c/0x84) from [<c0328120>] (bus_add_driver+0xd0/0x250)
<6>[    0.724462] c0      1 [<c0328120>] (bus_add_driver+0xd0/0x250) from [<c032935c>] (driver_register+0x9c/0x128)
<6>[    0.724523] c0      1 [<c032935c>] (driver_register+0x9c/0x128) from [<c0c20f10>] (msm_serial_hs_init+0x64/0xc0)
<6>[    0.724553] c0      1 [<c0c20f10>] (msm_serial_hs_init+0x64/0xc0) from [<c000878c>] (do_one_initcall+0x90/0x160)
<6>[    0.724614] c0      1 [<c000878c>] (do_one_initcall+0x90/0x160) from [<c0c00aa4>] (kernel_init+0xf4/0x1b4)
<6>[    0.724675] c0      1 [<c0c00aa4>] (kernel_init+0xf4/0x1b4) from [<c000f0ec>] (kernel_thread_exit+0x0/0x8)
<4>[    0.724706] c0      1 ---[ end trace 371b948d1dd1158b ]---
<6>[    0.725438] c0      1 msm_serial_hs module loaded
<6>[    0.725927] c0      1 [BT]msm_serial_hs module loaded
<6>[    0.726201] c0      1 msm_serial_hsl: detected port #3
<6>[    0.726415] c0      1 msm_serial_hsl.3: ttyHSL3 at MMIO 0x12490000 (irq = 227) is a MSM
<6>[    0.726751] c0      1 msm_serial_hsl: detected port #0
<6>[    0.726934] c0      1 msm_serial_hsl.0: ttyHSL0 at MMIO 0x16640000 (irq = 190) is a MSM
<6>[    0.727361] c0      1 msm_serial_hsl: driver initialized
<6>[    0.727636] c0      1 msm_serial_cir: detected port #2
<6>[    0.727666] c0      1 [CIR] cir_power on = 1
<6>[    0.727788] c0      1 msm_serial_cir: get gsbi_uart_clk and gsbi_pclk
<6>[    0.727819] c0      1 msm_serial_hsl: port[2] mapbase:16240000
<6>[    0.727910] c0      1 [CIR] msm_serial_hsl_probe_cir () device_create_file, port->line 2, ir
<6>[    0.727971] c0      1 [CIR] msm_serial_hsl_probe_cir () clk_enable, port->line 2, ir
<6>[    0.728002] c0      1 [CIR] msm_hsl_config_port_cir () :port->line 2, ir
<6>[    0.728063] c0      1 [CIR] msm_hsl_request_port_cir: memory map for base 0x16240000
<6>[    0.728094] c0      1 [CIR] msm_hsl_request_port_cir ():uart_resource :port->line 2, memory map for base 0x16240000 ir
<6>[    0.728124] c0      1 [CIR] msm_serial_hsl_has_gsbi: cir uart port[2] is_uartdm=1
<6>[    0.728155] c0      1 [CIR] msm_hsl_request_port_cir: get gsbi_resource for port[2]
<6>[    0.728185] c0      1 [CIR] msm_hsl_request_port_cir () ok:port->line 2, ir
<6>[    0.728216] c0      1 [CIR] msm_serial_hsl_has_gsbi: cir uart port[2] is_uartdm=1
<6>[    0.728246] c0      1 [CIR] msm_hsl_config_port_cir: cir line[2] GSBI_CONTROL_ADDR-60
<6>[    0.728277] c0      1 [CIR] msm_hsl_config_port_cir () GSBI_CONTROL_ADDR:port->line 2, ir
<6>[    0.728307] c0      1 msm_serial_cir.2: ttyHSL2 at MMIO 0x16240000 (irq = 182) is a MSM
<6>[    0.728338] c0      1 [CIR] msm_hsl_power_cir (): ir, state 0
<6>[    0.728399] c0      1 [CIR] msm_hsl_power_cir (): ir, state 3
<6>[    0.728643] c0      1 [CIR] msm_serial_hsl_probe_cir () clk_disabl, port->line 2, ir
<6>[    0.728673] c0      1 [CIR] msm_serial_hsl_probe_cir ():port->line 2, ir
<6>[    0.729131] c0      1 [CIR] msm_serial_hsl_init_cir(): driver initialized, msm_serial_hsl_enable 0
<6>[    0.729986] c0      1 diagfwd_init: start
<6>[    0.730260] c0      1 [USB] usb_diag_open: name: diag
<6>[    0.731329] c0      1 [USB] usb_diag_open: name: diag_mdm
<6>[    0.731786] c0      1 [USB] usb_diag_open: name: diag_qsc
<6>[    0.733862] c0      1 [USBDIAG] diagchar initialized now
<6>[    0.734167] c0      1 ion_client_create: create ion_client (KGSL) at deb97b00
<6>[    0.735083] c0      1 ion_client_create: create ion_client (kgsl) at de43b6c0
<6>[    0.735632] c0      1 kgsl kgsl-3d0: |kgsl_iommu_init| MMU type set for device is IOMMU
<7>[    0.743018] c2      5 [DISP] Drv: MHL 1.0 Compliant Clock
<6>[    0.751991] c0      1 brd: module loaded
<6>[    0.758980] c0      1 loop: module loaded
<4>[    0.759468] c0      1 i2c-core: driver [mpu3050] using legacy suspend method
<4>[    0.759499] c0      1 i2c-core: driver [mpu3050] using legacy resume method
<7>[    0.759560] c0      1 mpu_init
<6>[    0.759774] c0      1 [VIB_PWM]pm8xxx_vib_probe+
<6>[    0.759987] c0      1 [VIB_PWM]pm8xxx_vib_probe-
<6>[    0.761239] c0      1 ion_client_create: create ion_client (qseecom-kernel) at de4a1d00
<6>[    0.762582] c0      1 tabla-slim tabla-slim: Initialized slim device tabla-slim
<7>[    0.776407] c0      5 [DISP] Drv: InitCBusRegs
<7>[    0.783549] c0      5 [DISP] Drv: Switch To D3: pinAllowD3 = 1
<6>[    0.848313] c0      5 input: rcp_events as /devices/virtual/input/input1
<7>[    0.848344] c0      5 [DISP] sii9234_probe: Probe success!
<3>[    0.856126] c0      1 fail to get slimbus logical address -6
<6>[    0.860552] c0      1 tabla2x-slim tabla2x-slim: Initialized slim device tabla2x-slim
<6>[    0.963589] c0      1 wcd9xxx_device_init : Codec version 2 initialized
<6>[    0.963619] c0      1 idbyte_0[00000002] idbyte_1[00000000] idbyte_2[00000000] idbyte_3[00000001]
<4>[    0.964169] c0      1 i2c-core: driver [tabla-i2c-core] using legacy suspend method
<4>[    0.964199] c0      1 i2c-core: driver [tabla-i2c-core] using legacy resume method
<4>[    0.964443] c0      1 i2c-core: driver [sitar-i2c-core] using legacy suspend method
<4>[    0.964443] c0      1 i2c-core: driver [sitar-i2c-core] using legacy resume method
<6>[    0.964504] c0      1 pm8xxx_batt_alarm_init: pm8xxx_batt_alarm_init, 864
<6>[    0.964657] c0      1 pm8xxx_batt_alarm_probe: pm8xxx_batt_alarm_probe, 753
<6>[    0.964748] c0      1 pm8xxx_batt_alarm_reg_init: pm8xxx_batt_alarm_reg_init, 667
<6>[    0.964993] c0      1 pm8xxx_batt_alarm_probe: pm8xxx_batt_alarm_probe, 820
<6>[    0.966152] c0      1 SCSI Media Changer driver v0.25 
<6>[    0.966885] c0      1 spi_qsd spi_qsd.0: master is unqueued, this is deprecated
<7>[    0.968472] c0      1 [NET][CORE][RULE] attach_rules 
<6>[    0.968716] c0      1 tun: Universal TUN/TAP device driver, 1.6
<6>[    0.968747] c0      1 tun: (C) 1999-2004 Max Krasnyansky <maxk@qualcomm.com>
<6>[    0.968930] c0      1 [RMNETBAM] rmnet_init: BAM devices[8]
<7>[    0.969540] c0      1 [NET][CORE][RULE] attach_rules 
<7>[    0.970669] c0      1 [NET][CORE][RULE] attach_rules 
<7>[    0.971768] c0      1 [NET][CORE][RULE] attach_rules 
<7>[    0.972897] c0      1 [NET][CORE][RULE] attach_rules 
<7>[    0.974027] c0      1 [NET][CORE][RULE] attach_rules 
<7>[    0.975156] c0      1 [NET][CORE][RULE] attach_rules 
<7>[    0.976316] c0      1 [NET][CORE][RULE] attach_rules 
<7>[    0.977414] c0      1 [NET][CORE][RULE] attach_rules 
<7>[    0.978513] c0      1 [NET][CORE][RULE] attach_rules 
<6>[    0.979978] c0      1 PPP generic driver version 2.4.2
<6>[    0.980192] c0      1 PPP BSD Compression module registered
<6>[    0.980222] c0      1 PPP Deflate Compression module registered
<6>[    0.981596] c0      1 PPP MPPE Compression module registered
<6>[    0.981626] c0      1 NET: Registered protocol family 24
<6>[    0.981687] c0      1 SLIP: version 0.8.4-NET3.019-NEWTTY (dynamic channels, max=256) (6 bit encapsulation enabled).
<6>[    0.981718] c0      1 CSLIP: code copyright 1989 Regents of the University of California.
<6>[    0.981870] c0      1 wcnss_wlan probed in built-in mode
<6>[    0.982755] c0      1 usbcore: registered new interface driver asix
<6>[    0.982908] c0      1 usbcore: registered new interface driver cdc_ether
<6>[    0.983000] c0      1 usbcore: registered new interface driver net1080
<6>[    0.983122] c0      1 usbcore: registered new interface driver cdc_subset
<6>[    0.983244] c0      1 usbcore: registered new interface driver zaurus
<6>[    0.983518] c0      1 usbcore: registered new interface driver cdc_ncm
<6>[    0.983641] c0      1 usbcore: registered new interface driver rmnet_usb
<3>[    0.983793] c0      1 (NULL device *): hsicctl0 init_timer rcv_timer
<3>[    0.983946] c0      1 (NULL device *): hsicctl1 init_timer rcv_timer
<3>[    0.984098] c0      1 (NULL device *): hsicctl2 init_timer rcv_timer
<3>[    0.984251] c0      1 (NULL device *): hsicctl3 init_timer rcv_timer
<6>[    0.984892] c0      1 rmnet_usb_ctrl_init: register_chrdev
<6>[    0.984922] c0      1 rmnet_usb_ctrl_init: register_chrdev, ret=[232]
<6>[    0.984953] c0      1 rmnet_usb_ctrl_init: class_create
<6>[    0.984983] c0      1 rmnet_usb_ctrl_init: device_create
<6>[    0.985167] c0      1 rmnet usb ctrl Initialized.
<6>[    0.985289] c0      1 [USB] msm_otg probe
<3>[    0.985350] c0      1 [USB] failed to get phy_clk
<6>[    0.985441] c0      1 [USB] OTG regs = e631e000
<7>[    0.986113] c0      1 [USBH] msm_hsusb_config_vddcx: min_vol:1045000 max_vol:1320000
<6>[    0.986906] c0      1 [USBH] msm_hsusb_ldo_enable: hsusb_1p8: 50000uA
<6>[    0.986937] c0      1 [USBH] msm_hsusb_ldo_enable: hsusb_3p3: 50000uA
<7>[    0.987852] c0      1 [USBH] reg (HPM)
<6>[    0.988615] c0      1 [USB] PMIC IRQ for ID notifications doesn't exist. Maybe monitor id pin by GPIO
<6>[    0.988799] c0      1 [USBH] is_msm_otg_support_power_collapse: POWER_COLLAPSE_LDO1V8
<7>[    0.988829] c0      1 [USBH] msm_otg_probe support power collapse
<6>[    0.988921] c0      1 [USB] OTG runtime idle
<6>[    0.989195] c0      1 ehci_hcd: USB 2.0 'Enhanced' Host Controller (EHCI) Driver
<7>[    0.989378] c0      1 [USBH] host driver registered w/ tranceiver
<6>[    1.002716] c0      1 msm_hsic_host msm_hsic_host: Qualcomm EHCI Host Controller using HSIC
